AuditID,SpeciesID,SpeciesName,ConservationStatus,Habitat,RegionID,Population,AverageSize,MaxSize,LifeSpan,CommercialValue,CatchLimit,BreedingSeason,ImageURL,ChangeType,ChangeDate
11,11,Shrimp,Vulnerable,Marine,11,200000,15.00,20.00,2,2.00,3000.00,Summer,https://www.scuba.com/blog/wp-content/uploads/2014/05/shutterstock_107258144.jpg,INSERT,"2024-08-16 05:37:56"
12,12,Cod,"Near Threatened",Marine,14,45000,80.00,100.00,8,40.00,12000.00,Winter,https://cdn.britannica.com/14/229414-050-296A8E37/Atlantic-cod-Gadus-morhua-fish.jpg,INSERT,"2024-08-16 05:37:56"
13,13,Mackerel,"Least Concern",Pelagic,15,120000,40.00,50.00,6,20.00,8000.00,Summer,https://upload.wikimedia.org/wikipedia/commons/e/ef/GomaSB.jpg,INSERT,"2024-08-16 05:37:56"
14,14,"Pacific Halibut","Near Threatened",Marine,2,30000,100.00,150.00,15,60.00,12000.00,Winter,https://images.twnmm.com/c55i45ef3o2a/4xghMAiI9lZMqP47ALfBN8/ec49f050099585c9946ccc8fff571273/GettyImages-1694034497.jpg?fm=webp&q=80&w=3840,INSERT,"2024-08-16 05:37:56"
15,15,"Australian Barramundi","Least Concern",Freshwater,3,70000,90.00,120.00,10,45.00,9000.00,Spring,https://cdn.britannica.com/88/254188-050-6247487C/Close-up-of-a-Barramundi-swimming.jpg,INSERT,"2024-08-16 05:37:56"
16,16,"Norwegian Herring","Least Concern",Marine,4,200000,25.00,35.00,5,10.00,5000.00,Summer,https://www.shutterstock.com/image-photo/school-sardines-swimming-left-right-600nw-1715467270.jpg,INSERT,"2024-08-16 05:37:56"
17,17,Catfish,Vulnerable,Freshwater,5,60000,50.00,70.00,8,25.00,7000.00,Fall,https://assets.caboosecms.com/posts/3853_huge.jpg?1534868218,INSERT,"2024-08-16 05:37:56"
18,18,"Hawaiian Mahi Mahi","Least Concern",Marine,9,50000,50.00,70.00,6,30.00,5000.00,Spring,https://www.aftco.com/cdn/shop/articles/dorado_1280x720_20c8b0f0-18ce-42a3-97d1-da56c8feb973.jpg?format=webp&v=1500401384&width=1100,INSERT,"2024-08-16 05:37:56"
19,19,"Alaskan Pollock","Least Concern",Marine,10,100000,40.00,60.00,9,15.00,7000.00,Fall,https://upload.wikimedia.org/wikipedia/commons/8/8e/Pollachius_pollachius_aquarium.jpg,INSERT,"2024-08-16 05:37:56"
20,20,"South African Yellowtail","Least Concern",Marine,12,40000,60.00,80.00,10,50.00,7000.00,Spring,https://www.aquarium.co.za/uploads/files/_1200x630_crop_center-center_82_none/yellowtail.jpg?mtime=1667306304,INSERT,"2024-08-16 05:37:56"
21,21,"Japanese Amberjack","Near Threatened",Marine,13,20000,80.00,100.00,12,60.00,8000.00,Summer,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Yellowtail_amberjack.jpg/1200px-Yellowtail_amberjack.jpg,INSERT,"2024-08-16 05:37:56"
22,22,"Bering Sea Crab","Least Concern",Marine,14,50000,30.00,40.00,5,25.00,4000.00,Fall,https://alaskabeacon.com/wp-content/uploads/2022/11/5114130573_c04b24d011_o-1536x1046.jpg,INSERT,"2024-08-16 05:37:56"
23,23,"Mongolian Carp","Least Concern",Freshwater,15,60000,50.00,70.00,8,20.00,5000.00,Winter,https://cdn.britannica.com/34/199834-050-ACEB68C7/Carp.jpg,INSERT,"2024-08-16 05:37:56"
